symbol	n_wheels	wheels	sos
GOMP_parallel	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_end	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_dynamic	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_dynamic_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_guided	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_guided_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_maybe_nonmonotonic_runtime	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_nonmonotonic_dynamic	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_nonmonotonic_guided	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_nonmonotonic_runtime	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_runtime	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_runtime_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_static	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_loop_static_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_reductions	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_sections	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_sections_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_parallel_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_sections2_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_sections_end	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_sections_end_cancel	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_sections_end_nowait	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_sections_next	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_sections_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_single_copy_end	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_single_copy_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_single_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_data	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_data_ext	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_end_data	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_enter_exit_data	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_ext	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_update	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_target_update_ext	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_task	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_task_reduction_remap	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskgroup_end	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskgroup_reduction_register	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskgroup_reduction_unregister	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskgroup_start	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskloop	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskloop_ull	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskwait	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskwait_depend	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_taskyield	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_teams	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_teams_reg	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
GOMP_workshare_task_reduction_unregister	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OACC_2.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OACC_2.0.1	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OACC_2.5	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_1.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_2.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_3.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_3.1	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_4.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_4.5	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
OMP_5.0	3	faiss_cpu,scikit_learn,torch	libgomp-e985bcbb.so.1.0.0,libgomp.so.1
QUADMATH_1.0	3	faiss_cpu,numpy,scipy	libquadmath-2284e583.so.0.0.0,libquadmath-828275a7.so.0.0.0,libquadmath-96973f99-934c22de.so.0.0.0
__ieee_arithmetic_MOD_ieee_class_10	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_class_16	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_class_4	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_class_8	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_class_type_eq	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_class_type_ne	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
